gene,index,AD.043T2.A7.1,AD.111T2.A8.1,AD.114T1.A9.1..,AD.115T1.A12.1..,AD.118t1.A13.1,AD.119t3.A195.8,AD.120t1.A226.8..,AD.122t3.A197.8,AD.123T1.A25.1..,AD.127T1.A14.1,AD.130T1.A1.1,AD.131T1.A15.A200.1.,AD.136t2.A201.8,AD.157T1.A246.10..,AD.158t1.A247.10..,AD.159t1.A229.8,AD.162t2.A230.8,AD.163t1.A203.8..,AD.164t1a.A206.8..,AD.167t1..d.dup..A210.8..,AD.169t2.A211.8..,AD.170t1.A251.10...,AD.172t2.A213.8..,AD.173T1a.A23.1,AD.177T1.A21.1,AD.178T2.A22.1..,AD.179t1.d.dup..A214.8..,AD.183t1.A215.8..,AD.185t2.A232.8,AD.186T1.A27.1,AD.187T1.A11.1..,AD.188t1.A216.8,AD.201t1.A138.4,AD.202t2.A139.4,AD.203t1.A140.4..,AD.207t1.A142.4,AD.208t1.A143.4,AD.210t1.A144.4,AD.212t1.A145.4,AD.213t1.A146.4,AD.218t1.A147.4,AD.221t1.A148.4,AD.224t1.A149.4,AD.225t1.A150.4,AD.226t2.A151.4,AD.228t2.A152.4..,AD.230t1.A153.4,AD.232t1.A154.4,AD.234t1.dup..A155.4,AD.236t1.A156.4,AD.238t2x.A157.4,AD.239t1.A158.4,AD.240t1.A159.4,AD.241t1x.A160.4,AD.243t1x.A161.4..,AD.247t1.A164.4,AD.249t1x..d..A165.4,AD.250t1.A166.4,AD.252t1.A167.4,AD.253t1.A168.4,AD.255t1a.A169.4...,AD.258t1a.A170.4....,AD.259t1.A171.4,AD.260t1a.A172.4..,AD.261t1b.A173.4,AD.262t1a.A259.10..,AD.266t1.A90.3,AD.267t1.A91.3,AD.268t1.dup.b4..A93.3...,AD.269t1.A94.3,AD.275t1.A95.3,AD.276t1.dup.b4..A96.3..,AD.277t1.A97.3,AD.283t1.A99.3,AD.285t2c.A263.10,AD.287t1.A101.3,AD.294t1.dup.b4..A104.3..,AD.295t1.A105.3,AD.296t21.A106.03..,AD.299t1.A235.8..,AD.301t1.A237.8..,AD.302t3.A238.8..,AD.304t1.A240.8,AD.305t1.A415.7,AD.308t1.A241.8,AD.309t1.A242.8,AD.311t1.A266.10..,AD.313t1.A268.10,AD.314t1.A269.10,AD.315t1.A270.10,AD.317t1.A271.10,AD.318t3.A107.3,AD.320t1.A272.10,AD.323t1.A273.10,AD.327t1.A276.10..,AD.330t2.A279.10,AD.331t1.A219.8,AD.332t1.A220.8,AD.334t1..d.dup..A221.8..,AD.335t1.A222.8..,AD.336t1.A223.8,AD.337t1.A224.8,AD.338t1a.A121.3..,AD.340t1a.A122.3..,AD.341t1a.A123.3..,AD.346t1a.A124.3..,AD.347t1a.A125.3..,AD.350t1a.A126.3..,AD.351t1.A127.3,AD.352t1.A128.3,AD.353t1.A129.3,AD.355t2.A174.4,AD.356t1.A175.4,AD.360t1.A176.A406,AD.361t1.A177.4,AD.362t1.A282.10,AD.363t1.A283.10,AD.366t1.A109.3,AD.367t1.A110.3,AD.368t2.A285.10,AD.370t1x.A112.3,AD.374t1.A114.3,AD.375t1.A115.3..,AD.379t1.A116.3..,AD.382t1.A117.3..,AD.383t1.A118.3..,AD.384t1.A120.3..,AD.AD10T1.A389.7,AD.AD15T1.A390.7,AD.AD16T2.A391.7,AD.AD18T1.A392.7,AD.AD19T1.A393.7,AD.AD1T1.A383.7,AD.AD2T1.A384.7,AD.AD31.A289.10,AD.AD3T1.A385.7,AD.AD4T1.A386.7,AD.AD5T1.A387.7,AD.AD7T1.A388.7,NL.1179.A408.7,NL.1675.A409.7,NL.1698.A410.7,NL.1884.A411.7,NL.2378.A412.7,NL.2562.A413.7,NL.268n1.A92.3,NL.279n1.A98.3,NL.3104.A331.6,NL.3681.A332.6,NL.4083.A333.6,NL.4353.A334.6,NL.504.A407..7,NL.6084.A335.6,NL.6853.A336.6,NL.6943.A337.6,NL.7530.A338.6,SQ.1174.A317.5,SQ.1670.A318.5,SQ.2557.A320.5,SQ.2572.A321.5,SQ.2921.A322.5,SQ.3197.A323.5,SQ.3529.A324.5,SQ.3624.A325.5,SQ.4172.A326.5,SQ.4389.A327.5,SQ.5897.A328.5,SQ.6147.A329.5,SQ.7324.A416.7,SQ.SQ10t1.A362.6,SQ.SQ13t1.A364.6,SQ.SQ14t1.A365.6,SQ.SQ20t1.A366.6,SQ.SQ4t1.A358.6,SQ.SQ5t1.A359.6,SQ.SQ6t1.A360.6,SQ.SQ8t1.A361.6,COID.1429.A303.5,COID.2260.A304.5,COID.3580.A302.5,COID.4385.A301.5,COID.4518.A305.5,COID.9794.A300.5,COID.COID10t1.A347.6,COID.COID11t1.A348.6,COID.COID12t1.A349.6,COID.COID13t1.A350.6,COID.COID14t1.A351.6,COID.COID16t1.A352.6,COID.COID18t1.A353.6,COID.COID3t1.A340.6,COID.COID4t1.A341.6,COID.COID5t1.A342.6,COID.COID6t1.A343.6,COID.COID7t1.A344.6,COID.COID8t1.A345.6,COID.COID9t1.A346.6
SPTAN1,3,0,0,-0.232448697,-0.044737396,0,0,0,0.415614636,0,0,-0.164855034,-0.039522704,0.100832458,-0.022834383,-0.245425023,0.168948743,0,0.469357791,-0.132246939,-0.011945761,0.608695332,-0.094511654,0,0.703482557,-0.391856615,-0.037913754,0.043484629,-0.182333524,-0.502337433,0.582480719,-0.207291508,0,0.369057153,0.366288869,-0.130441581,-0.442564865,-0.12351709,0,0.40586579,0,-0.921066721,1.204307887,0.204162013,0.479713212,-0.002933328,0.307285364,-0.438586551,-0.013772541,-0.560359052,-0.095175691,0.505671996,-0.011486489,0,1.185072513,-0.190332074,0,-0.139087395,-0.033400388,0.024798838,-0.175930422,0.330030339,0,0.192579192,0,-0.065423016,-0.094582291,-0.113807181,-0.365456706,0,-0.01051096,0,0,0.59515187,-0.343967642,-0.196486692,0,-0.099656259,0.000914884,-0.050896838,-0.313587324,-0.320315016,0.019825217,-0.001812118,0,-0.115749294,0.789043632,0.001043495,-0.361655775,0.4445209,-0.315696949,0.137792342,0.179470274,0.323809757,0,0.097463641,-0.291718278,0,-0.552296391,-0.375704195,0,0.21496512,0,0,0,0.151385703,-0.282212687,-0.370003402,-0.502448995,-0.062851937,-0.075154854,-0.515208292,0,-0.235748968,3.050265628,0,-0.462603785,-0.382879838,-0.23393267,0.163209771,-0.228930612,0.421738711,0,-0.092916186,0.086718546,-0.250991341,-0.135386102,-0.09081211,0,0.053364272,-0.066807104,0,0.086033532,-0.232351111,-0.063299841,0.906507141,-0.294188537,0,0.725212034,0.89263243,0.599306262,1.506169617,1.366122958,-0.340136623,0.355283982,1.086156922,0.258895171,-0.140718572,0,-0.212673834,-0.106880504,0.204268695,0,0.135663123,0.611259986,2.257615036,-0.517697511,0.005308833,-0.409407093,-0.193812069,-0.626543916,0.029650674,-0.238216297,-0.353992741,-0.026455895,0.444979833,-0.018933104,0,0.069777678,0.319382717,-0.043728923,-0.45587392,-0.060515026,0.194078069,0,-0.040290856,-0.226455991,0.243134392,0,1.077851585,-0.131921133,0.091269538,-0.001935586,0,-0.164864985,0.565817013,1.473969051,0.050356562,0.127145815,0.400224463,0.468700626,0.86719428,0.216188889,1.038830809,0.40056534,-0.546596942,0.364624725,1.276987694
STX12,3,0.492416407,0,0,-0.09124126,0.102455267,-0.284813991,-0.280544375,-0.281633808,-0.086493137,0.081764716,0.197258509,0.076964471,-0.225179642,0,-0.275829875,-0.241568934,-0.184303997,0,-0.302881654,-0.302501102,0.218537542,0,0.077988237,0.229174051,0.717750542,-0.381218624,-0.105723607,-0.043582277,-0.20916575,0.189265362,-0.193240982,0,-0.172070329,0.082403444,0.001797722,0.401586504,0,0.091831307,-0.487577377,-0.427504794,-0.408174179,0,-0.078074857,-0.097518407,-0.000166961,-0.05726361,-0.124693573,0,-0.532343783,-0.02598471,0,0.17748044,0,-0.388974253,-0.158680852,0.538964813,0,-0.444064592,-0.033383445,0,0.148922423,0,0,0.851477159,0,-0.1694539,0.837994052,0.663037366,-0.044456465,0.217634779,0.118783556,0.485852853,-0.10152887,0.044271408,-0.032458326,0,0.009566583,-0.110111304,-0.511946877,0.160727386,-0.199382051,0.808864045,-0.216227706,0.33673828,0,0.216008464,0.96155134,0,0.286377953,0.526561554,0.429562177,0,0.374162668,0.229646743,-0.261707848,-0.00503324,0.149796192,-0.186451429,-0.046278662,0,-1.0503825,0.179305367,0.149036541,0,0,-0.014706476,0,-0.083780756,0.318281787,0.104227113,0.503231749,0,0,0,0.649750483,-0.638828188,0.055560718,-0.085113627,0.155926777,-0.315734905,-0.038835935,0.087171655,0.512262286,0.137761214,1.198816838,-0.30713093,0,0.098479424,0.056672172,0,0.339822545,0.165169859,0,0,-0.980956017,0.193217728,0.80439066,-0.643606027,0.157262012,0.483464477,1.678825235,-0.45624064,0.337438707,-0.020541478,0.449909923,0,0.37198193,0.327731912,-0.03357822,1.126321012,0.447010472,1.844569936,-0.111030402,0.201791797,-0.52964327,0,-0.742853637,0,-0.279579942,-0.109670966,0.070864454,-0.082002375,0,0,0,-0.074439984,-0.126768193,0,-0.028246849,0,-0.153743808,0.164594431,0,-0.469970808,-0.27621075,-0.399488193,-0.041272843,-0.223777572,0.42484652,0,0.921410495,0.215661926,0.949263065,0.309472377,0.580286696,0.803082491,0.974832307,0.168781813,1.218312429,0.051619386,1.145551631,-0.456257195,-0.463005831,0.368231598,0,-0.263442387,0.099220322
SEC14L1,3,-0.147821052,0.522159494,0,-0.148524982,0.263309068,0.24767109,0,-0.09029887,0.408912142,0.450060974,0.225287028,0.005551645,-0.114540244,0,-0.012728497,-0.491489745,0,-0.417025489,-0.061031686,-0.158446992,-0.174138452,-0.004382033,-0.133315884,-0.28762346,-0.168920779,0,0.392370241,0,0.286971685,-0.223921185,0.617448701,0,0,0,-0.208421345,0,0.105859229,0.065021063,0,0.066332157,-0.328615435,-0.115329389,0,-0.171410613,-0.200367959,0,-0.076398416,0,-0.101032695,-0.241605977,-0.198035331,0,-0.165458892,0,-0.268683142,-0.009394856,-0.377940336,-0.018353356,0.68094198,-0.083995639,-0.163928426,0,0.404729418,0,-0.351481861,-0.163974797,-0.278974391,0,-0.087073589,0.966368114,0.811581151,-0.021754535,0,0,0.45527197,-0.563697894,-0.203461485,0,0.338585289,0.241800179,0.643566087,0,0,0.521678487,-0.459652152,-0.12242447,-0.107249054,-0.061735255,-0.245681822,0,-0.002220037,0,0.094522653,-0.130616274,-0.058920364,-0.159499346,0,0,0.71841853,0.02174562,-0.074530275,0.129238378,-0.111549063,0,0,0,-0.126948224,0.628276693,-0.005649241,-0.206738127,0,0.28567238,-0.348890898,0,-0.193612501,0,-0.318830337,0,-0.032778382,-0.063497053,-0.491317092,-0.077429148,0,-0.057843867,-0.291471747,0,0,0.94937796,0,0.411893258,-0.05156376,0,0.238679347,0,-0.430892384,-0.170847957,-0.070965985,-0.025110046,-0.136581811,0.556904514,-0.495288511,0,0.81056475,0.482343056,-0.024457987,0.116129603,1.235076207,0,-0.412028647,1.053422656,0,0,0.533084597,0.302556132,0,-0.692764939,0.405687451,0,0,-0.114804638,0,-0.128469995,-0.439830365,-0.266312153,0.328295152,0,-0.289075112,0,-0.070120605,0,0,0,-0.337620221,-0.267158228,0.053109545,0.70007794,0.876381031,0.532566923,0,0.247038318,3.428640728,0,1.866890061,2.538233869,0.19095269,1.18251875,2.683992433,0,-0.433284344,0.733614683,2.136784218,-0.289117413,3.288548054,2.03371592,-0.142034449,0.418459426,-0.177872053
MAP4,3,0.329281685,-0.534409862,-0.412577969,-0.063970475,0.164161858,0.258198143,0.096653467,0.110094809,0,-0.673795954,-0.282077007,-0.059960909,0.259825536,-0.242174474,0,0,0,1.00430984,0.870947833,0.596775986,0,-0.461287669,-0.330141417,-0.131360591,0,0.8260276,-0.313217608,0.212416016,-0.059568501,-0.000490764,0,-0.055125652,0.324253626,0.238387859,0.325211206,0.312800407,-0.199210854,0.008240113,0.430834352,-0.142928256,-0.439194458,0.870218621,0.232660168,-0.276530016,0,-0.173625953,0,-0.158718993,0.086602936,0.23728766,0,0.402565539,0.324470268,-0.141970838,-0.206124184,0.142220374,0,0,-0.551282827,-0.676719135,-0.210185832,-0.015432558,-0.282420557,-0.017637687,-0.711578681,-0.510240753,0.188058488,-0.077630372,0,-0.429033612,0,0.380677247,0.111861321,0.192651521,-0.076932192,0.073532743,0.605720126,-0.045686022,0,0.150114775,-0.215160908,0,0,-0.689395236,0,-0.451059199,0.040610161,-0.246627737,0,-0.834451105,-0.568288071,0.279590487,-0.762316179,-0.406040518,0,0.197121114,0,0,-0.3669176,-0.184057975,-0.914687338,0.254176316,-0.272711518,0,0.427821498,-0.09384932,-0.205608687,-0.237612261,0.030944991,0.109852235,0.200040895,0,0.096706811,0.387265538,0.63648156,-0.477509155,-0.764258229,0.06306358,-0.161174982,-0.739370197,-0.441862897,0.587736956,0,0,0.624322704,0.857138532,0.122761836,0.127119394,-0.182019002,0.522904696,0.124748075,0,0,-0.210066616,-0.914146588,0,-0.707845967,0.326215691,0.38199938,1.52788065,0.733977468,0.151519963,0.508890829,0.129077705,-0.138288777,0.154859776,0.775518791,-0.197950007,0.071541759,-0.35464488,0,0.888988119,0.293460109,0.326093561,-0.673814074,-0.770291346,0,0,0,0,0.603758881,-0.118470517,-0.429944962,0,1.48290329,-0.466170895,-0.260308178,-0.103731191,-0.433350677,0,0,0.192531426,0,0.22813214,-0.051074433,-0.366703197,0,0.047156591,1.587124347,0.111941654,1.626531362,-0.143659699,0,-0.011084781,0.243901059,0.496915386,0.538531677,0,0.726958218,0,0,1.079529435,1.562744104,0.735008769,-0.127938313,0,0.644425584
EIF1,3,0.182631869,0.427998352,-0.144764679,0,0,-0.201272153,0.038111674,-0.398683131,0.124850243,0,0.375081956,0.704221675,-0.572261501,0,0.653264938,-0.508222941,0.056408343,-1.003798636,0.128783381,0,-0.050625005,-0.116135565,0.076563693,0.142629313,-0.306459122,-0.463449433,-0.294052159,-0.08120763,0.364617253,-0.862330986,-0.171862074,-0.206249505,0.118128048,0.043319226,-0.443472804,0.210873109,0,0.011411805,-0.859032006,-0.589549939,0,0,-0.529784526,0.248219389,-0.279741884,-0.531881637,-0.048215654,-0.458418586,-0.404573411,0,0,-0.128914326,-0.027902686,0.574895872,0.150770919,0.088340363,0.053786693,0.231943501,-0.475786,-0.406163976,-0.11359386,-0.520769799,-0.472057931,-0.528090087,0.611714366,-0.17876193,-0.065392212,0.002793184,1.321237757,0.285467323,0.356969698,0.163695432,-0.755986964,0.10160056,0,0.839160442,-0.23302574,-0.537239348,0.701441216,-0.647130386,-0.334291121,-0.018022536,0,0.541214029,-0.643289013,0.862646037,0,0,-0.266198282,0.259446054,0,-0.486623584,-0.910727204,-0.14087427,-0.060321531,0,-0.165722161,0.258590231,0.620866121,-0.462906494,-0.893809984,-0.622789859,-0.113870604,-0.115075391,0.369548758,0,-0.285060191,0.232785788,-0.201465677,-0.006050945,0,0.157897414,0,-0.031089279,0,0.254614546,1.076883663,0.440447088,0.10566002,-0.386061345,-0.041102395,0,0,-0.835484201,-0.541724329,-0.197815184,0.570983657,-0.455901881,0.016781064,-0.033590923,-0.414217539,-0.406129609,-0.213521894,-0.237474165,-0.042781212,0.102945013,0.106913812,-0.665713043,-0.549915042,0,0.941897519,0.334427431,-0.391838162,1.442117164,-0.303256265,1.611127169,0,1.592303619,0,-0.126638172,0.365567244,-0.400084099,0.044706103,0,1.656908687,0.449186947,0.456363836,-0.137674598,0.87174476,0.002601884,0,-0.388192406,-0.636586019,0.248532216,0,-0.684885919,-0.312803052,0.414694308,-0.497042918,0,-0.432116688,-0.703082331,-0.151352306,0.197489857,0.194660575,0.529983611,0.064114199,-0.09299944,2.987987052,0.219095454,0.30827476,1.152220007,2.523172358,1.892908184,-0.596865951,-0.410663535,1.132230004,0.043420844,2.060886474,0.22976638,0.701642601,1.362289706,0,0,0.762098971,-0.226885149,0.091094832
PER1,3,-0.035639668,-0.46125284,-0.507478716,-0.362144493,-0.304005483,-0.087585659,0.326048113,-0.209353171,0.006578393,-0.336548503,-0.632688401,0,-0.560236402,0.005587609,0.568770233,0.817727513,-0.022005221,0,8.50E-05,0.210436079,0,0.478529095,-0.281549794,-0.168590041,-0.371684339,0.890063727,1.034420345,-0.260633005,-0.120432008,-0.12934509,0.173601798,0.048723468,-0.569340525,0.06353815,-0.437124349,0.426949331,-0.17264045,0.085261164,0.192480898,0.279099352,0.124996321,0,0.804244201,-0.803648946,-0.497986604,0.233193862,0,-0.40271515,0.140606215,-0.083544104,-0.353756113,0.214523822,0,-0.141613676,-0.241364578,-0.136924639,-0.548159287,0,0.051954411,-0.159088217,0.153500728,-0.264138818,0,0.059065629,0.209278367,0.582162035,-0.652394735,0.146597244,-0.061810433,0,0,-0.694398718,0.484078722,0.143196342,0,-0.148800098,-0.656228359,-0.100044139,-0.213295551,0,0.115352296,0,0.349385222,0.090776173,2.863706632,0.395854248,0.496843624,-0.237055367,-0.323128957,0,-0.345956585,0,-0.07790971,0,0.428653793,-0.501690822,1.248053975,-0.301392716,0,-0.004649875,-0.285999512,0,-0.913794575,0,-0.295843009,0.134900925,1.182129483,-0.083782545,-0.874738979,-0.018812357,-0.2986699,-0.27458506,0.051727678,0.493414308,-0.047166871,0.135196318,-0.688087019,0.590722352,0.271945882,-0.010321899,0.685588296,0,-0.375832786,-0.240282254,0,-0.126939464,0.049823119,0.012226255,0.230738279,-0.085918022,0.08862489,-0.287072055,0.876665237,-0.025924992,-1.306797922,0.291461195,-0.215631691,-0.558413573,0,0,-0.359595264,0,0.963175674,0,0.233810833,0.123369958,-0.993724496,-0.17493176,-0.244386505,0,0.472148857,0.139800056,-0.090102812,0.401422785,1.42368742,-0.742082157,-0.297921553,-0.229638393,0,0.189670599,0.137988629,0.520844441,0,-0.194795882,-0.096575842,0,-0.077938377,0,0,-0.119598643,0,0.174927768,-0.201351231,0,0,0.302378493,0,-0.203858484,0.452543675,-1.195286853,3.621301956,0.024719288,0.963330413,-0.249102726,0.119454145,-0.155142673,-0.518623274,0.152076814,1.000921072,0.045991821,0.165782863,1.026369217,1.35699726,0,1.050707213,0,1.22348537
EPAS1,3,0.855978782,0.034096455,-0.185330196,-0.324622443,-0.618501072,-0.606091232,-0.495849115,-0.645527923,0.059975519,-0.032769614,0.444554719,0,-0.251931383,0,0.095522183,0.698261263,-0.363517991,0.083471974,0,-0.049206788,0.327835669,-0.280796547,-0.4866738,0,-0.363420598,-0.070394077,0,-0.013247249,-1.00923311,0.448142719,-0.39504202,0.260942739,0,0.924258223,0.034760919,0,-0.233084014,-0.044693551,0,0,0.140227125,-0.372780712,0,1.542279192,0,-0.082065281,-0.314475839,-0.639612831,0.268561701,0,-0.002481019,1.189076936,0.103805254,-0.816886116,-0.310588114,0,0.524373042,0.246910175,0.044196248,-0.218637831,0.268799492,0.377361551,0.302264846,0.128817812,-0.005483075,-0.030722466,-0.421906481,-0.195643353,-0.322730103,-0.099612077,-0.367104579,-0.44756783,-1.656027797,0.065855652,0.024992569,0.087344076,0.246017979,-0.269175795,0.405037759,-0.458896587,0,-0.385248024,-0.176388024,-0.936948651,0,0.031529324,-0.366101788,0.192976376,-0.119230296,-0.31450944,-0.708754777,0.638449295,0.25319123,0.621195833,0.307867599,-0.028996006,0.200895496,-0.432173094,0.811970336,-0.55323523,-0.013829704,0.30767916,-0.401347548,0.766801986,0.347829922,-0.303543987,0.56125655,0,1.008707874,-0.02878267,0.344909541,0.070649634,0,-0.729156925,0.239081825,-0.288648549,0.100300737,0,0.061249186,0.140208021,-0.482063467,0.156146797,-0.363435352,-0.337401053,-0.111642458,-0.028958476,-0.080385779,-0.511575067,0.802112819,-0.554781972,0.038819984,0.112346731,0.202560626,0.159256212,-0.59406542,0,-1.275565789,0.545177091,0.27320781,2.033539969,-1.049870906,-0.392572872,-1.348463269,-0.765574705,2.181992028,1.568457021,1.361262376,4.902918655,1.870162296,0,0.345652741,-0.377666198,1.288324172,0,0.23662286,-1.086235512,-0.919488962,0,-0.483049846,0.300646136,-0.456581596,-0.065993111,0,0.166953971,0.452231943,0,0.101782446,-0.387236701,-0.028614143,0.137333944,0.907117193,-0.807478361,0.328282882,0.34652917,-0.07891136,-0.227233698,0.08276108,-0.723647177,-0.565321983,-0.560097851,0.044226907,1.144950025,0.951420044,-0.230108323,0.409839651,-0.97136026,0,0.461436863,0,0,0.067762962,0.579459339,0.236868103,0.093699072,0.153370424,-0.223935916,-0.229539548
ADD1,3,-0.029558649,0.002491393,-0.345259826,-0.138224986,-0.029901673,-0.153564415,0.153986068,0.458884362,-0.283239843,0.054948692,-0.002320299,0.064750635,0,-0.403635195,0,0,-0.360657898,0,0.240113705,-0.360044419,-0.483583618,-0.578075502,-0.503984504,0,-0.314206631,0.002838326,-0.26498965,-0.170035732,-0.22629533,-0.393057408,-0.231788941,-0.411775666,0.083138164,-0.343487388,-0.108011657,0.092245529,0,-0.104412983,0.623425892,-0.581627242,0.852937281,-0.070577206,0,0,-0.144362189,-0.60605603,-0.190003495,0.050236536,-0.134285208,-0.351003725,-0.319246933,0.240955064,0.070715457,0.160650126,-0.082512328,0.168081311,-0.246612819,0,0,0.139154707,-0.192264307,-0.480368845,-0.034394403,0,0.091029956,0,0.581487264,-0.412931868,0.096733434,0.531842399,0.791998488,1.243525204,1.141943857,0,-0.18998369,-0.211412441,0.319004328,-0.131710088,-0.005036227,-0.347434297,-0.292686005,0.86327042,0.252504566,0,0.511978262,-0.389785913,0.177251222,-0.335372319,0,-0.770267055,0.107873676,0.198993256,-0.233252261,-0.022095671,0.046394172,-0.610586351,-0.09902363,0,-0.050395478,0.239853783,0.479100597,0,0,0.306185756,1.18895679,0.317087477,0.966878132,-0.324156543,0,-0.013450515,0,0.419484693,0.268866245,0.69713698,0.012524797,0,-0.39249466,1.402441203,-0.196101493,0.143635466,0,0.199352796,0,0.860131776,0.07164947,-0.290629273,-0.249123693,-0.070536031,-0.45335624,0.029781209,-0.326587331,-0.10647108,0,0,0,0,0,-0.196809443,0,0.087209504,-0.288683985,0,0.424785399,0.237004664,0.53709821,0,0.011315541,-0.344386741,0.303239488,-0.419718175,-0.350582332,0,0.2920098,0.476750335,-0.662136161,-0.377308115,-0.164326714,0,-0.61539364,0,0.035898948,0.173962693,-0.151375167,1.577833486,-0.217980596,-0.140509182,-0.187840257,0.006974989,-0.081500317,0,-0.825185401,-0.048528942,0.142601719,0.009536937,-0.72852117,-0.230064888,-0.280656813,0.436442586,0,0.740681386,2.410394144,1.054694291,0.751497215,0.717182117,0,2.044201728,0.739714632,0.108646793,-0.275121935,0.344275093,0.049274264,1.24974056,1.937881237,-0.159223783,-0.275690354,0.273102156,-0.04919229
PAFAH1B1,3,0,0,0,-0.129730845,0,0,-0.184393394,0.021824148,-0.128451549,0.151821148,-0.201921026,0.732799005,-0.256741145,0.017332678,-0.065333154,0,-0.090555727,-0.167249585,-0.145919851,-0.006781398,-0.481156985,0.002776996,0.077020462,-0.578685701,0.073110107,-0.274886246,-0.447723729,0.311610281,-0.476830322,-0.724646901,0.104163097,-0.37390333,-0.440068596,-0.113821928,0,0,-0.090831481,-0.247070025,0.411145585,-0.037870203,-0.154289747,-0.137497638,0,0,-0.115907003,-0.172189415,-0.303992528,0,-0.44735405,-0.141306236,-0.100996236,0,-0.588541791,0,0.256378322,-0.137013909,0.18776637,1.074859723,-0.200487048,0,0.441233762,-0.256232147,0,0,0.072841749,-0.029766166,0.316896491,-0.289594534,-0.120693144,0,0,-0.045420244,0.32132546,-0.008478876,0.16605562,0.183088972,-0.134371598,0,-0.187315607,-0.383858616,-0.152455055,0.341381453,0,-0.354398631,0.022768735,1.071702808,0,-0.233286934,-0.162256892,0,0.384153275,-0.273625706,-0.491728927,-0.617481654,-0.200886269,0.131601535,0,-0.249526044,0.199067279,-0.475255596,0.910014023,-0.177161345,0.034658217,-0.069222778,-0.05631605,0,0,0.699674453,0,-0.239754592,0.217407733,0.111396284,0.796368524,0.084878774,-0.02325979,0.057449689,-0.172413962,-0.141195175,0.420487067,-0.76061076,0,-0.300866846,-0.206710847,0,-0.248387942,-0.404677375,-0.000959344,0.381162961,0.009809291,0,0.42018428,-0.070380407,0,0.457174497,-0.298628025,0.753625435,-0.321203939,-0.004644937,0.201266565,0.723273197,-0.100700319,1.198853861,-0.126633973,0,1.373914509,-0.135639576,-0.23164033,0,0.070387977,-0.212892725,0,0.29038078,0.147177409,-0.33907005,0,0,-0.605774772,0.076161677,0.181047496,0,-0.482092253,0.165348891,0.040045334,0.190851508,0,-0.165383445,-0.280655877,-0.42516241,0.665394255,2.032406444,-0.632432068,-0.360492041,-0.59708886,0,0,0.10607375,0.090199432,0,0,-0.09455671,1.574065632,0,0.073327616,0.4441755,1.447367293,0.067641718,0.731307197,-0.259159586,1.552471946,0.622782998,1.239156507,0.96386005,0.86898729,1.049824004,0,0.490182852,1.686203738
CYP2C18,3,-0.180978607,-0.312394091,0.129621057,0,-0.095751775,0.098736197,0.191160175,0.280626849,0.304050706,0,-0.239813943,0.085203303,0.108865073,0,-0.424122672,-0.063340809,-0.162317128,-0.233748947,0,0,-0.632761624,-0.000111507,0.272645538,0,-0.164573005,0,-0.310042241,-0.007766469,-0.227152706,0.486925319,0.706598566,0,0.006884024,0.002026969,0.042669786,0.048718089,0.233291641,0,0.085014876,0,2.158104761,1.153260921,0.208202286,0,0,0,0.635358076,0.240646365,-0.108616839,0,-0.465195015,-0.268003305,0.213647446,0,-0.774806828,0.110284441,0.302825749,0,-0.18279779,0,0.217707779,0,0.582931704,-0.060783073,0.502386564,0.172909371,-0.175570303,0,-0.923824977,-1.163385824,0,0,0.212408346,0.835913922,-0.96713393,-0.337949404,-0.031276628,0.061521909,0,0,-0.381064713,-0.239144328,-0.582400219,0,-0.16975724,0,0.163139659,0.368735101,0.12112181,-0.864542773,-0.687091741,0,-0.44475515,-0.078500115,0.04622086,0.386334833,-0.402850546,0.427428388,0,0.085836999,-0.142395221,0.019892095,0.72088538,-0.162567838,-0.32938287,-0.444245441,0.261697913,-0.111375931,0.378427874,-0.097971627,0.085738161,-0.055965155,-0.425975754,-0.005055021,-0.15224751,0.028306012,-0.613841725,0.142761385,0,0.450422666,0,-0.404294693,-0.094415842,1.185317888,0.005230108,0.020237297,0,-0.360885227,0.713049182,-0.147154856,-0.218579788,0,0,-0.467275206,0.545359534,0.057244265,0.161028779,-0.025777194,0,0,0.629915245,-3.323685017,-0.586511025,0,0.189438997,0.320092648,0.019835616,0.907857259,-0.270623434,-0.828578613,-0.062083061,-0.303323786,-0.734073575,0.416234779,-3.694166325,0.4439001,-0.432751277,0.30230154,0.205210514,-0.164739006,-0.036329382,-0.088268814,0.422252616,0.256734537,0,-0.284041178,-0.195985165,1.63995811,0.069749106,-0.225095362,-0.016945238,0.413693932,0,0.337126151,-0.302060672,-0.431352665,0.101221403,-0.185941797,0.126959299,0,0.06342288,0.445875892,1.471658838,0.27266375,0.3326085,1.1260428,-0.576705038,0.229820212,0.78323374,0.112527665,0.016397159,0,-0.185831651,0,0.090097231,0.613013064,0
